,country,year,sex,age,suicides_no,population,suicides_per_100k_pop,country_year,HDI_for_year,gdp_for_year,gdp_per_capita,generation
461,Canada,2013,male,15-24 years,300,2362807,12.7,Canada2013,0.912,1842628005830,55310,Millenials
462,Canada,2013,female,35-54 years,400,5003771,7.99,Canada2013,0.912,1842628005830,55310,Generation X
463,Canada,2013,female,55-74 years,255,3887315,6.56,Canada2013,0.912,1842628005830,55310,Boomers
464,Canada,2013,female,15-24 years,138,2261173,6.1,Canada2013,0.912,1842628005830,55310,Millenials
465,Canada,2013,female,25-34 years,135,2433660,5.55,Canada2013,0.912,1842628005830,55310,Millenials
466,Canada,2013,female,75+ years,65,1410630,4.61,Canada2013,0.912,1842628005830,55310,Silent
467,Canada,2013,female,5-14 years,20,1823010,1.1,Canada2013,0.912,1842628005830,55310,Generation Z
468,Canada,2013,male,5-14 years,15,1927751,0.78,Canada2013,0.912,1842628005830,55310,Generation Z
469,Chile,2012,male,75+ years,101,258082,39.13,Chile2012,0.827,267122320057,16617,Silent
470,Chile,2012,male,25-34 years,319,1333713,23.92,Chile2012,0.827,267122320057,16617,Millenials
471,Chile,2012,male,35-54 years,555,2370451,23.41,Chile2012,0.827,267122320057,16617,Generation X
472,Chile,2012,male,55-74 years,285,1250017,22.8,Chile2012,0.827,267122320057,16617,Boomers
473,Chile,2012,male,15-24 years,242,1435400,16.86,Chile2012,0.827,267122320057,16617,Millenials
474,Chile,2012,female,35-54 years,138,2385205,5.79,Chile2012,0.827,267122320057,16617,Generation X
475,Chile,2012,female,25-34 years,62,1296016,4.78,Chile2012,0.827,267122320057,16617,Millenials
476,Chile,2012,female,15-24 years,62,1381401,4.49,Chile2012,0.827,267122320057,16617,Millenials
477,Chile,2012,female,55-74 years,52,1397521,3.72,Chile2012,0.827,267122320057,16617,Boomers
478,Chile,2012,female,75+ years,10,429697,2.33,Chile2012,0.827,267122320057,16617,Silent
479,Chile,2012,male,5-14 years,8,1292347,0.62,Chile2012,0.827,267122320057,16617,Generation Z
480,Chile,2012,female,5-14 years,7,1245397,0.56,Chile2012,0.827,267122320057,16617,Generation Z
481,Chile,2013,male,75+ years,82,265665,30.87,Chile2013,0.83,278384332694,17140,Silent
482,Chile,2013,male,55-74 years,288,1296922,22.21,Chile2013,0.83,278384332694,17140,Boomers
483,Chile,2013,male,25-34 years,298,1359760,21.92,Chile2013,0.83,278384332694,17140,Millenials
484,Chile,2013,male,35-54 years,516,2389789,21.59,Chile2013,0.83,278384332694,17140,Generation X
485,Chile,2013,male,15-24 years,224,1425807,15.71,Chile2013,0.83,278384332694,17140,Millenials
486,Chile,2013,female,35-54 years,130,2401833,5.41,Chile2013,0.83,278384332694,17140,Generation X
487,Chile,2013,female,15-24 years,60,1370723,4.38,Chile2013,0.83,278384332694,17140,Millenials
488,Chile,2013,female,25-34 years,52,1318935,3.94,Chile2013,0.83,278384332694,17140,Millenials
489,Chile,2013,female,55-74 years,54,1445681,3.74,Chile2013,0.83,278384332694,17140,Boomers
490,Chile,2013,female,75+ years,14,442189,3.17,Chile2013,0.83,278384332694,17140,Silent
491,Chile,2013,male,5-14 years,12,1285975,0.93,Chile2013,0.83,278384332694,17140,Generation Z
492,Chile,2013,female,5-14 years,8,1238965,0.65,Chile2013,0.83,278384332694,17140,Generation Z
493,Chile,2014,male,75+ years,92,273608,33.62,Chile2014,0.832,260584090571,15883,Silent
494,Chile,2014,male,55-74 years,308,1345116,22.9,Chile2014,0.832,260584090571,15883,Boomers
495,Chile,2014,male,35-54 years,536,2408469,22.25,Chile2014,0.832,260584090571,15883,Generation X
496,Chile,2014,male,25-34 years,289,1384843,20.87,Chile2014,0.832,260584090571,15883,Millenials
497,Chile,2014,male,15-24 years,238,1413924,16.83,Chile2014,0.832,260584090571,15883,Millenials
498,Chile,2014,female,35-54 years,127,2417192,5.25,Chile2014,0.832,260584090571,15883,Generation X
499,Chile,2014,female,25-34 years,60,1340788,4.47,Chile2014,0.832,260584090571,15883,Millenials
500,Chile,2014,female,15-24 years,58,1357865,4.27,Chile2014,0.832,260584090571,15883,Millenials
501,Chile,2014,female,55-74 years,52,1494867,3.48,Chile2014,0.832,260584090571,15883,Boomers
502,Chile,2014,female,75+ years,8,455627,1.76,Chile2014,0.832,260584090571,15883,Silent
503,Chile,2014,male,5-14 years,12,1280751,0.94,Chile2014,0.832,260584090571,15883,Generation Z
504,Chile,2014,female,5-14 years,9,1233817,0.73,Chile2014,0.832,260584090571,15883,Generation Z
505,Colombia,2012,male,75+ years,69,453582,15.21,Colombia2012,0.715,369659700376,8586,Silent
506,Colombia,2012,male,15-24 years,486,4254495,11.42,Colombia2012,0.715,369659700376,8586,Millenials
507,Colombia,2012,male,25-34 years,412,3891260,10.59,Colombia2012,0.715,369659700376,8586,Millenials
508,Colombia,2012,male,55-74 years,266,2556199,10.41,Colombia2012,0.715,369659700376,8586,Boomers
509,Colombia,2012,male,35-54 years,455,5846650,7.78,Colombia2012,0.715,369659700376,8586,Generation X
510,Colombia,2012,female,15-24 years,151,4133625,3.65,Colombia2012,0.715,369659700376,8586,Millenials
511,Colombia,2012,female,25-34 years,73,3942505,1.85,Colombia2012,0.715,369659700376,8586,Millenials
512,Colombia,2012,female,55-74 years,41,2948489,1.39,Colombia2012,0.715,369659700376,8586,Boomers
513,Colombia,2012,female,35-54 years,83,6261133,1.33,Colombia2012,0.715,369659700376,8586,Generation X
514,Colombia,2012,male,5-14 years,44,4146398,1.06,Colombia2012,0.715,369659700376,8586,Generation Z
515,Colombia,2012,female,75+ years,6,642251,0.93,Colombia2012,0.715,369659700376,8586,Silent
516,Colombia,2012,female,5-14 years,33,3979277,0.83,Colombia2012,0.715,369659700376,8586,Generation Z
517,Colombia,2013,male,75+ years,69,470105,14.68,Colombia2013,0.718,380191881860,8731,Silent
518,Colombia,2013,male,15-24 years,450,4235904,10.62,Colombia2013,0.718,380191881860,8731,Millenials
519,Colombia,2013,male,55-74 years,260,2672132,9.73,Colombia2013,0.718,380191881860,8731,Boomers
520,Colombia,2013,male,25-34 years,381,3931611,9.69,Colombia2013,0.718,380191881860,8731,Millenials
521,Colombia,2013,male,35-54 years,462,5947520,7.77,Colombia2013,0.718,380191881860,8731,Generation X
522,Colombia,2013,female,15-24 years,141,4114036,3.43,Colombia2013,0.718,380191881860,8731,Millenials
523,Colombia,2013,female,25-34 years,81,3977885,2.04,Colombia2013,0.718,380191881860,8731,Millenials
524,Colombia,2013,female,35-54 years,101,6365459,1.59,Colombia2013,0.718,380191881860,8731,Generation X
525,Colombia,2013,female,55-74 years,41,3079952,1.33,Colombia2013,0.718,380191881860,8731,Boomers
526,Colombia,2013,male,5-14 years,41,4126269,0.99,Colombia2013,0.718,380191881860,8731,Generation Z
527,Colombia,2013,female,5-14 years,36,3959475,0.91,Colombia2013,0.718,380191881860,8731,Generation Z
528,Colombia,2013,female,75+ years,5,665950,0.75,Colombia2013,0.718,380191881860,8731,Silent
529,Colombia,2014,male,75+ years,83,486197,17.07,Colombia2014,0.72,378195716714,8591,Silent
530,Colombia,2014,male,15-24 years,480,4216293,11.38,Colombia2014,0.72,378195716714,8591,Millenials
531,Colombia,2014,male,55-74 years,283,2795271,10.12,Colombia2014,0.72,378195716714,8591,Boomers
532,Colombia,2014,male,25-34 years,395,3965410,9.96,Colombia2014,0.72,378195716714,8591,Millenials
533,Colombia,2014,male,35-54 years,477,6046987,7.89,Colombia2014,0.72,378195716714,8591,Generation X
534,Colombia,2014,female,15-24 years,132,4092325,3.23,Colombia2014,0.72,378195716714,8591,Millenials
535,Colombia,2014,female,25-34 years,82,4007103,2.05,Colombia2014,0.72,378195716714,8591,Millenials
536,Colombia,2014,female,55-74 years,43,3219142,1.34,Colombia2014,0.72,378195716714,8591,Boomers
537,Colombia,2014,female,35-54 years,82,6467724,1.27,Colombia2014,0.72,378195716714,8591,Generation X
538,Colombia,2014,male,5-14 years,37,4100740,0.9,Colombia2014,0.72,378195716714,8591,Generation Z
539,Colombia,2014,female,75+ years,5,690028,0.72,Colombia2014,0.72,378195716714,8591,Silent
540,Colombia,2014,female,5-14 years,27,3934580,0.69,Colombia2014,0.72,378195716714,8591,Generation Z
541,Costa Rica,2012,male,35-54 years,94,598555,15.7,Costa Rica2012,0.761,46473128286,10832,Generation X
542,Costa Rica,2012,male,25-34 years,55,387974,14.18,Costa Rica2012,0.761,46473128286,10832,Millenials
543,Costa Rica,2012,male,15-24 years,58,419511,13.83,Costa Rica2012,0.761,46473128286,10832,Millenials
544,Costa Rica,2012,male,55-74 years,40,297364,13.45,Costa Rica2012,0.761,46473128286,10832,Boomers
545,Costa Rica,2012,male,75+ years,8,63663,12.57,Costa Rica2012,0.761,46473128286,10832,Silent
546,Costa Rica,2012,female,35-54 years,16,609857,2.62,Costa Rica2012,0.761,46473128286,10832,Generation X
547,Costa Rica,2012,female,15-24 years,10,403604,2.48,Costa Rica2012,0.761,46473128286,10832,Millenials
548,Costa Rica,2012,female,55-74 years,6,311981,1.92,Costa Rica2012,0.761,46473128286,10832,Boomers
549,Costa Rica,2012,female,25-34 years,7,379310,1.85,Costa Rica2012,0.761,46473128286,10832,Millenials
550,Costa Rica,2012,male,5-14 years,5,377001,1.33,Costa Rica2012,0.761,46473128286,10832,Generation Z
551,Costa Rica,2012,female,5-14 years,3,360319,0.83,Costa Rica2012,0.761,46473128286,10832,Generation Z
552,Costa Rica,2012,female,75+ years,0,81071,0.0,Costa Rica2012,0.761,46473128286,10832,Silent
553,Costa Rica,2013,male,25-34 years,75,395371,18.97,Costa Rica2013,0.764,49745088112,11443,Millenials
554,Costa Rica,2013,male,75+ years,12,66659,18.0,Costa Rica2013,0.764,49745088112,11443,Silent
555,Costa Rica,2013,male,55-74 years,49,310249,15.79,Costa Rica2013,0.764,49745088112,11443,Boomers
556,Costa Rica,2013,male,35-54 years,82,607709,13.49,Costa Rica2013,0.764,49745088112,11443,Generation X
557,Costa Rica,2013,male,15-24 years,48,418437,11.47,Costa Rica2013,0.764,49745088112,11443,Millenials
558,Costa Rica,2013,female,25-34 years,11,386168,2.85,Costa Rica2013,0.764,49745088112,11443,Millenials
559,Costa Rica,2013,female,35-54 years,13,618837,2.1,Costa Rica2013,0.764,49745088112,11443,Generation X
560,Costa Rica,2013,female,15-24 years,8,402392,1.99,Costa Rica2013,0.764,49745088112,11443,Millenials
561,Costa Rica,2013,male,5-14 years,6,373658,1.61,Costa Rica2013,0.764,49745088112,11443,Generation Z
562,Costa Rica,2013,female,55-74 years,5,325956,1.53,Costa Rica2013,0.764,49745088112,11443,Boomers
563,Costa Rica,2013,female,75+ years,1,84743,1.18,Costa Rica2013,0.764,49745088112,11443,Silent
564,Costa Rica,2013,female,5-14 years,1,357050,0.28,Costa Rica2013,0.764,49745088112,11443,Generation Z
565,Costa Rica,2014,male,55-74 years,46,323941,14.2,Costa Rica2014,0.766,50577769838,11485,Boomers
566,Costa Rica,2014,male,35-54 years,76,616724,12.32,Costa Rica2014,0.766,50577769838,11485,Generation X
567,Costa Rica,2014,male,25-34 years,49,401836,12.19,Costa Rica2014,0.766,50577769838,11485,Millenials
568,Costa Rica,2014,male,15-24 years,43,416344,10.33,Costa Rica2014,0.766,50577769838,11485,Millenials
569,Costa Rica,2014,male,75+ years,6,69706,8.61,Costa Rica2014,0.766,50577769838,11485,Silent
570,Costa Rica,2014,female,25-34 years,12,392153,3.06,Costa Rica2014,0.766,50577769838,11485,Millenials
571,Costa Rica,2014,female,15-24 years,12,400170,3.0,Costa Rica2014,0.766,50577769838,11485,Millenials
572,Costa Rica,2014,female,75+ years,2,88574,2.26,Costa Rica2014,0.766,50577769838,11485,Silent
573,Costa Rica,2014,female,35-54 years,11,627502,1.75,Costa Rica2014,0.766,50577769838,11485,Generation X
574,Costa Rica,2014,female,55-74 years,5,340748,1.47,Costa Rica2014,0.766,50577769838,11485,Boomers
575,Costa Rica,2014,female,5-14 years,3,354701,0.85,Costa Rica2014,0.766,50577769838,11485,Generation Z
576,Costa Rica,2014,male,5-14 years,3,371275,0.81,Costa Rica2014,0.766,50577769838,11485,Generation Z
577,Croatia,2012,male,75+ years,99,122607,80.75,Croatia2012,0.817,56565475275,13952,Silent
578,Croatia,2012,male,55-74 years,207,465550,44.46,Croatia2012,0.817,56565475275,13952,Boomers
579,Croatia,2012,male,35-54 years,201,591018,34.01,Croatia2012,0.817,56565475275,13952,Generation X
580,Croatia,2012,female,75+ years,46,232222,19.81,Croatia2012,0.817,56565475275,13952,Silent
581,Croatia,2012,male,25-34 years,51,294314,17.33,Croatia2012,0.817,56565475275,13952,Millenials
582,Croatia,2012,male,15-24 years,35,256849,13.63,Croatia2012,0.817,56565475275,13952,Millenials
583,Croatia,2012,female,55-74 years,73,541956,13.47,Croatia2012,0.817,56565475275,13952,Boomers
584,Croatia,2012,female,35-54 years,42,594104,7.07,Croatia2012,0.817,56565475275,13952,Generation X
585,Croatia,2012,female,25-34 years,13,283419,4.59,Croatia2012,0.817,56565475275,13952,Millenials
586,Croatia,2012,female,15-24 years,5,245431,2.04,Croatia2012,0.817,56565475275,13952,Millenials
587,Croatia,2012,male,5-14 years,3,219008,1.37,Croatia2012,0.817,56565475275,13952,Generation Z
588,Croatia,2012,female,5-14 years,1,207818,0.48,Croatia2012,0.817,56565475275,13952,Generation Z
589,Croatia,2013,male,75+ years,85,126153,67.38,Croatia2013,0.817,58085856019,14362,Silent
590,Croatia,2013,male,55-74 years,174,469173,37.09,Croatia2013,0.817,58085856019,14362,Boomers
591,Croatia,2013,male,35-54 years,186,587482,31.66,Croatia2013,0.817,58085856019,14362,Generation X
592,Croatia,2013,male,25-34 years,59,291832,20.22,Croatia2013,0.817,58085856019,14362,Millenials
593,Croatia,2013,male,15-24 years,41,254643,16.1,Croatia2013,0.817,58085856019,14362,Millenials
594,Croatia,2013,female,75+ years,35,237107,14.76,Croatia2013,0.817,58085856019,14362,Silent
595,Croatia,2013,female,55-74 years,48,544041,8.82,Croatia2013,0.817,58085856019,14362,Boomers
596,Croatia,2013,female,35-54 years,48,589432,8.14,Croatia2013,0.817,58085856019,14362,Generation X
597,Croatia,2013,female,25-34 years,9,281138,3.2,Croatia2013,0.817,58085856019,14362,Millenials
598,Croatia,2013,female,15-24 years,6,243263,2.47,Croatia2013,0.817,58085856019,14362,Millenials
599,Croatia,2013,male,5-14 years,1,215702,0.46,Croatia2013,0.817,58085856019,14362,Generation Z
600,Croatia,2013,female,5-14 years,0,204491,0.0,Croatia2013,0.817,58085856019,14362,Generation Z
601,Croatia,2014,male,75+ years,97,129205,75.07,Croatia2014,0.818,57629518806,14299,Silent
602,Croatia,2014,male,55-74 years,193,473836,40.73,Croatia2014,0.818,57629518806,14299,Boomers
603,Croatia,2014,male,35-54 years,167,582938,28.65,Croatia2014,0.818,57629518806,14299,Generation X
604,Croatia,2014,female,75+ years,42,240853,17.44,Croatia2014,0.818,57629518806,14299,Silent
605,Croatia,2014,male,15-24 years,37,251460,14.71,Croatia2014,0.818,57629518806,14299,Millenials
606,Croatia,2014,male,25-34 years,42,287190,14.62,Croatia2014,0.818,57629518806,14299,Millenials
607,Croatia,2014,female,55-74 years,71,547211,12.97,Croatia2014,0.818,57629518806,14299,Boomers
608,Croatia,2014,female,35-54 years,49,583896,8.39,Croatia2014,0.818,57629518806,14299,Generation X
609,Croatia,2014,female,15-24 years,12,240071,5.0,Croatia2014,0.818,57629518806,14299,Millenials
610,Croatia,2014,female,25-34 years,11,277195,3.97,Croatia2014,0.818,57629518806,14299,Millenials
611,Croatia,2014,female,5-14 years,1,202723,0.49,Croatia2014,0.818,57629518806,14299,Generation Z
612,Croatia,2014,male,5-14 years,0,213874,0.0,Croatia2014,0.818,57629518806,14299,Generation Z
613,Cuba,2012,male,75+ years,245,283396,86.45,Cuba2012,0.772,73141000000,6791,Silent
614,Cuba,2012,male,55-74 years,357,1000596,35.68,Cuba2012,0.772,73141000000,6791,Boomers
615,Cuba,2012,male,35-54 years,412,1913864,21.53,Cuba2012,0.772,73141000000,6791,Generation X
616,Cuba,2012,male,25-34 years,108,718645,15.03,Cuba2012,0.772,73141000000,6791,Millenials
617,Cuba,2012,female,75+ years,52,364108,14.28,Cuba2012,0.772,73141000000,6791,Silent
618,Cuba,2012,female,55-74 years,107,1037368,10.31,Cuba2012,0.772,73141000000,6791,Boomers
619,Cuba,2012,male,15-24 years,71,795384,8.93,Cuba2012,0.772,73141000000,6791,Millenials
620,Cuba,2012,female,35-54 years,94,1906959,4.93,Cuba2012,0.772,73141000000,6791,Generation X
621,Cuba,2012,female,15-24 years,25,746677,3.35,Cuba2012,0.772,73141000000,6791,Millenials
622,Cuba,2012,female,25-34 years,16,696377,2.3,Cuba2012,0.772,73141000000,6791,Millenials
623,Cuba,2012,male,5-14 years,6,672968,0.89,Cuba2012,0.772,73141000000,6791,Generation Z
624,Cuba,2012,female,5-14 years,2,634193,0.32,Cuba2012,0.772,73141000000,6791,Generation Z
625,Cuba,2013,male,75+ years,216,293384,73.62,Cuba2013,0.768,77148000000,7148,Silent
626,Cuba,2013,male,55-74 years,401,1014211,39.54,Cuba2013,0.768,77148000000,7148,Boomers
627,Cuba,2013,male,35-54 years,436,1911139,22.81,Cuba2013,0.768,77148000000,7148,Generation X
628,Cuba,2013,female,75+ years,49,376280,13.02,Cuba2013,0.768,77148000000,7148,Silent
629,Cuba,2013,male,25-34 years,96,738010,13.01,Cuba2013,0.768,77148000000,7148,Millenials
630,Cuba,2013,female,55-74 years,111,1052791,10.54,Cuba2013,0.768,77148000000,7148,Boomers
631,Cuba,2013,male,15-24 years,47,778739,6.04,Cuba2013,0.768,77148000000,7148,Millenials
632,Cuba,2013,female,35-54 years,94,1903641,4.94,Cuba2013,0.768,77148000000,7148,Generation X
633,Cuba,2013,female,25-34 years,20,714544,2.8,Cuba2013,0.768,77148000000,7148,Millenials
634,Cuba,2013,female,15-24 years,20,729372,2.74,Cuba2013,0.768,77148000000,7148,Millenials
635,Cuba,2013,male,5-14 years,5,659106,0.76,Cuba2013,0.768,77148000000,7148,Generation Z
636,Cuba,2013,female,5-14 years,4,621473,0.64,Cuba2013,0.768,77148000000,7148,Generation Z
637,Cuba,2014,male,75+ years,221,303110,72.91,Cuba2014,0.769,80656100000,7459,Silent
638,Cuba,2014,male,55-74 years,348,1034381,33.64,Cuba2014,0.769,80656100000,7459,Boomers
639,Cuba,2014,male,35-54 years,409,1899900,21.53,Cuba2014,0.769,80656100000,7459,Generation X
640,Cuba,2014,female,75+ years,51,388520,13.13,Cuba2014,0.769,80656100000,7459,Silent
641,Cuba,2014,male,25-34 years,97,758006,12.8,Cuba2014,0.769,80656100000,7459,Millenials
642,Cuba,2014,female,55-74 years,116,1074729,10.79,Cuba2014,0.769,80656100000,7459,Boomers
643,Cuba,2014,male,15-24 years,62,761440,8.14,Cuba2014,0.769,80656100000,7459,Millenials
644,Cuba,2014,female,35-54 years,107,1891607,5.66,Cuba2014,0.769,80656100000,7459,Generation X
645,Cuba,2014,female,15-24 years,19,711945,2.67,Cuba2014,0.769,80656100000,7459,Millenials
646,Cuba,2014,female,25-34 years,12,732841,1.64,Cuba2014,0.769,80656100000,7459,Millenials
647,Cuba,2014,male,5-14 years,9,646878,1.39,Cuba2014,0.769,80656100000,7459,Generation Z
648,Cuba,2014,female,5-14 years,2,610054,0.33,Cuba2014,0.769,80656100000,7459,Generation Z
649,Cyprus,2012,male,25-34 years,9,70596,12.75,Cyprus2012,0.852,25041372222,30752,Millenials
650,Cyprus,2012,male,35-54 years,14,110616,12.66,Cyprus2012,0.852,25041372222,30752,Generation X
651,Cyprus,2012,male,15-24 years,6,66014,9.09,Cyprus2012,0.852,25041372222,30752,Millenials
652,Cyprus,2012,male,55-74 years,5,79804,6.27,Cyprus2012,0.852,25041372222,30752,Boomers
653,Cyprus,2012,female,25-34 years,1,75365,1.33,Cyprus2012,0.852,25041372222,30752,Millenials
654,Cyprus,2012,female,35-54 years,1,125423,0.8,Cyprus2012,0.852,25041372222,30752,Generation X
655,Cyprus,2012,female,15-24 years,0,63355,0.0,Cyprus2012,0.852,25041372222,30752,Millenials
656,Cyprus,2012,female,5-14 years,0,44613,0.0,Cyprus2012,0.852,25041372222,30752,Generation Z
657,Cyprus,2012,female,55-74 years,0,83946,0.0,Cyprus2012,0.852,25041372222,30752,Boomers
658,Cyprus,2012,female,75+ years,0,27031,0.0,Cyprus2012,0.852,25041372222,30752,Silent
659,Cyprus,2012,male,5-14 years,0,47222,0.0,Cyprus2012,0.852,25041372222,30752,Generation Z
660,Cyprus,2012,male,75+ years,0,20320,0.0,Cyprus2012,0.852,25041372222,30752,Silent
661,Cyprus,2013,male,75+ years,3,21349,14.05,Cyprus2013,0.85,24084572491,29624,Silent
662,Cyprus,2013,male,15-24 years,8,62893,12.72,Cyprus2013,0.85,24084572491,29624,Millenials
663,Cyprus,2013,male,55-74 years,10,81903,12.21,Cyprus2013,0.85,24084572491,29624,Boomers
664,Cyprus,2013,male,25-34 years,8,70521,11.34,Cyprus2013,0.85,24084572491,29624,Millenials
665,Cyprus,2013,male,35-54 years,11,110593,9.95,Cyprus2013,0.85,24084572491,29624,Generation X
666,Cyprus,2013,female,35-54 years,4,125846,3.18,Cyprus2013,0.85,24084572491,29624,Generation X
667,Cyprus,2013,female,55-74 years,1,86452,1.16,Cyprus2013,0.85,24084572491,29624,Boomers
668,Cyprus,2013,female,15-24 years,0,59969,0.0,Cyprus2013,0.85,24084572491,29624,Millenials
669,Cyprus,2013,female,25-34 years,0,73849,0.0,Cyprus2013,0.85,24084572491,29624,Millenials
670,Cyprus,2013,female,5-14 years,0,44407,0.0,Cyprus2013,0.85,24084572491,29624,Generation Z
671,Cyprus,2013,female,75+ years,0,28320,0.0,Cyprus2013,0.85,24084572491,29624,Silent
672,Cyprus,2013,male,5-14 years,0,46914,0.0,Cyprus2013,0.85,24084572491,29624,Generation Z
673,Cyprus,2014,male,35-54 years,13,107823,12.06,Cyprus2014,0.85,23359294149,29024,Generation X
674,Cyprus,2014,male,25-34 years,8,68555,11.67,Cyprus2014,0.85,23359294149,29024,Millenials
675,Cyprus,2014,male,55-74 years,7,82766,8.46,Cyprus2014,0.85,23359294149,29024,Boomers
676,Cyprus,2014,female,55-74 years,5,87152,5.74,Cyprus2014,0.85,23359294149,29024,Boomers
677,Cyprus,2014,female,25-34 years,4,72330,5.53,Cyprus2014,0.85,23359294149,29024,Millenials
678,Cyprus,2014,female,15-24 years,3,59114,5.07,Cyprus2014,0.85,23359294149,29024,Millenials
679,Cyprus,2014,male,75+ years,1,22372,4.47,Cyprus2014,0.85,23359294149,29024,Silent
680,Cyprus,2014,male,15-24 years,2,60975,3.28,Cyprus2014,0.85,23359294149,29024,Millenials
681,Cyprus,2014,female,35-54 years,1,122485,0.82,Cyprus2014,0.85,23359294149,29024,Generation X
682,Cyprus,2014,female,5-14 years,0,44760,0.0,Cyprus2014,0.85,23359294149,29024,Generation Z
683,Cyprus,2014,female,75+ years,0,29382,0.0,Cyprus2014,0.85,23359294149,29024,Silent
684,Cyprus,2014,male,5-14 years,0,47104,0.0,Cyprus2014,0.85,23359294149,29024,Generation Z
685,Czech Republic,2012,male,75+ years,146,248952,58.65,Czech Republic2012,0.867,207376427021,20898,Silent
686,Czech Republic,2012,male,55-74 years,430,1173069,36.66,Czech Republic2012,0.867,207376427021,20898,Boomers
687,Czech Republic,2012,male,35-54 years,538,1537251,35.0,Czech Republic2012,0.867,207376427021,20898,Generation X
688,Czech Republic,2012,male,25-34 years,179,796162,22.48,Czech Republic2012,0.867,207376427021,20898,Millenials
689,Czech Republic,2012,male,15-24 years,84,609704,13.78,Czech Republic2012,0.867,207376427021,20898,Millenials
690,Czech Republic,2012,female,75+ years,45,456859,9.85,Czech Republic2012,0.867,207376427021,20898,Silent
691,Czech Republic,2012,female,55-74 years,106,1333013,7.95,Czech Republic2012,0.867,207376427021,20898,Boomers
692,Czech Republic,2012,female,35-54 years,94,1471892,6.39,Czech Republic2012,0.867,207376427021,20898,Generation X
693,Czech Republic,2012,female,25-34 years,22,750032,2.93,Czech Republic2012,0.867,207376427021,20898,Millenials
694,Czech Republic,2012,female,15-24 years,10,581629,1.72,Czech Republic2012,0.867,207376427021,20898,Millenials
695,Czech Republic,2012,male,5-14 years,3,495721,0.61,Czech Republic2012,0.867,207376427021,20898,Generation Z
696,Czech Republic,2012,female,5-14 years,1,468843,0.21,Czech Republic2012,0.867,207376427021,20898,Generation Z
697,Czech Republic,2013,male,75+ years,129,252532,51.08,Czech Republic2013,0.868,209402444996,21073,Silent
698,Czech Republic,2013,male,55-74 years,399,1188011,33.59,Czech Republic2013,0.868,209402444996,21073,Boomers
699,Czech Republic,2013,male,35-54 years,485,1556338,31.16,Czech Republic2013,0.868,209402444996,21073,Generation X
700,Czech Republic,2013,male,25-34 years,168,773130,21.73,Czech Republic2013,0.868,209402444996,21073,Millenials
701,Czech Republic,2013,male,15-24 years,108,586871,18.4,Czech Republic2013,0.868,209402444996,21073,Millenials
702,Czech Republic,2013,female,75+ years,36,459282,7.84,Czech Republic2013,0.868,209402444996,21073,Silent
703,Czech Republic,2013,female,35-54 years,108,1488299,7.26,Czech Republic2013,0.868,209402444996,21073,Generation X
704,Czech Republic,2013,female,55-74 years,92,1347862,6.83,Czech Republic2013,0.868,209402444996,21073,Boomers
705,Czech Republic,2013,female,25-34 years,30,729365,4.11,Czech Republic2013,0.868,209402444996,21073,Millenials
706,Czech Republic,2013,female,15-24 years,15,560391,2.68,Czech Republic2013,0.868,209402444996,21073,Millenials
707,Czech Republic,2013,male,5-14 years,5,510895,0.98,Czech Republic2013,0.868,209402444996,21073,Generation Z
708,Czech Republic,2013,female,5-14 years,2,483804,0.41,Czech Republic2013,0.868,209402444996,21073,Generation Z
709,Czech Republic,2014,male,75+ years,123,257383,47.79,Czech Republic2014,0.87,207818330724,20859,Silent
710,Czech Republic,2014,male,55-74 years,364,1197687,30.39,Czech Republic2014,0.87,207818330724,20859,Boomers
711,Czech Republic,2014,male,35-54 years,467,1580637,29.55,Czech Republic2014,0.87,207818330724,20859,Generation X
712,Czech Republic,2014,male,25-34 years,157,752372,20.87,Czech Republic2014,0.87,207818330724,20859,Millenials
713,Czech Republic,2014,male,15-24 years,84,565782,14.85,Czech Republic2014,0.87,207818330724,20859,Millenials
714,Czech Republic,2014,female,75+ years,54,464061,11.64,Czech Republic2014,0.87,207818330724,20859,Silent
715,Czech Republic,2014,female,55-74 years,107,1356408,7.89,Czech Republic2014,0.87,207818330724,20859,Boomers
716,Czech Republic,2014,female,35-54 years,94,1509758,6.23,Czech Republic2014,0.87,207818330724,20859,Generation X
717,Czech Republic,2014,female,25-34 years,26,711374,3.65,Czech Republic2014,0.87,207818330724,20859,Millenials
718,Czech Republic,2014,female,15-24 years,11,540106,2.04,Czech Republic2014,0.87,207818330724,20859,Millenials
719,Czech Republic,2014,female,5-14 years,1,500027,0.2,Czech Republic2014,0.87,207818330724,20859,Generation Z
720,Czech Republic,2014,male,5-14 years,1,527532,0.19,Czech Republic2014,0.87,207818330724,20859,Generation Z
721,Denmark,2012,male,75+ years,67,161259,41.55,Denmark2012,0.921,327148899962,62071,Silent
722,Denmark,2012,male,35-54 years,209,788215,26.52,Denmark2012,0.921,327148899962,62071,Generation X
723,Denmark,2012,male,55-74 years,153,630159,24.28,Denmark2012,0.921,327148899962,62071,Boomers
724,Denmark,2012,female,55-74 years,71,651381,10.9,Denmark2012,0.921,327148899962,62071,Boomers
725,Denmark,2012,male,25-34 years,31,326746,9.49,Denmark2012,0.921,327148899962,62071,Millenials
726,Denmark,2012,male,15-24 years,33,362466,9.1,Denmark2012,0.921,327148899962,62071,Millenials
